,Locality,Year,FIPS Code,Source,Type,Case Count Display,Rate,VDH Health District,VDH Health District Case Count Display,VDH Health District Case Rate,VDH Health Region,VDH Health Region Case Count Display,VDH Health Region Case Rate,Virginia Hospital & Healthcare Preparedness Region,Virginia Hospital & Healthcare Preparedness Region Case Count Display,Virginia Hospital & Healthcare Preparedness Region Case Rate,Virginia Department of Emergency Management Region,Virginia Department of Emergency Management Region Case Count Display,Virginia Department of Emergency Management Region Case Rate,Community Service Board,Community Service Board Case Count Display,Community Service Board Case Rate,Virginia State Police Division,Virginia State Police Division Case Count Display,Virginia State Police Division Case Rate,Virginia State,Virginia State Case Count Display,Virginia State Case Rate,X__2
8,Accomack,2011,51001,ED,ED Heroin Overdose,0,0,Eastern Shore,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Eastern Shore Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,32840
12,Accomack,2011,51001,ED,ED Opioid Overdose,0,0,Eastern Shore,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Eastern Shore Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,32840
17,Accomack,2011,51001,OD Death,Fatal Fentanyl and/or Heroin Overdose,1,3,Eastern Shore,1,2.2,Eastern,46,2.5,Eastern,46,2.5,Tidewater,46,2.6,Eastern Shore Community Services Board,1,2.2,VSP Division 5,47,2.6,Virginia State,153,1.9,32840
26,Accomack,2011,51001,OD Death,Fatal Prescription Opioid Overdose,1,3,Eastern Shore,1,2.2,Eastern,89,4.9,Eastern,89,4.9,Tidewater,88,4.9,Eastern Shore Community Services Board,1,2.2,VSP Division 5,86,4.8,Virginia State,496,6,32840
39,Albemarle,2011,51003,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Thomas Jefferson,0,0,Northwest,23,1.8,Northwest,21,2.5,Central Virginia,5,0.7,Region Ten Community Services Board,0,0,VSP Division 3,1,0.5,Virginia State,153,1.9,105105
48,Albemarle,2011,51003,ED,ED Heroin Overdose,0,0,Thomas Jefferson,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Region Ten Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,105105
50,Albemarle,2011,51003,ED,ED Opioid Overdose,0,0,Thomas Jefferson,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Region Ten Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,105105
53,Albemarle,2011,51003,OD Death,Fatal Prescription Opioid Overdose,3,2,Thomas Jefferson,2,1.7,Northwest,85,6.8,Northwest,63,7.4,Central Virginia,27,3.6,Region Ten Community Services Board,2,1.7,VSP Division 3,23,3.6,Virginia State,496,6,105105
70,Alleghany,2011,51005,OD Death,Fatal Prescription Opioid Overdose,0,0,Alleghany,8,4.5,Southwest,163,12,Near Southwest,71,7.2,Roanoke Area,56,7.5,Alleghany Highlands Community Services Board,1,4.5,VSP Division 6,57,7.4,Virginia State,496,6,15489
73,Alleghany,2011,51005,ED,ED Heroin Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Alleghany Highlands Community Services Board,0,0,VSP Division 6,0,0,Virginia State,0,0,15489
74,Alleghany,2011,51005,ED,ED Opioid Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Alleghany Highlands Community Services Board,0,0,VSP Division 6,0,0,Virginia State,0,0,15489
75,Alleghany,2011,51005,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Alleghany,1,1.1,Southwest,17,1.3,Near Southwest,13,1.3,Roanoke Area,12,1.6,Alleghany Highlands Community Services Board,0,0,VSP Division 6,12,1.6,Virginia State,153,1.9,15489
91,Amelia,2011,51007,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Richmond,0,0,Crossroads Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,12802
93,Amelia,2011,51007,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Richmond,0,0,Crossroads Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,12802
106,Amelia,2011,51007,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,44,3.2,Central,44,3.2,Richmond,44,3.5,Crossroads Community Services Board,0,0,VSP Division 1,44,3.3,Virginia State,153,1.9,12802
109,Amelia,2011,51007,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,1,1.9,Central,66,4.8,Central,66,4.8,Richmond,63,5,Crossroads Community Services Board,1,1.9,VSP Division 1,69,5.1,Virginia State,496,6,12802
125,Amherst,2011,51009,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,31819
128,Amherst,2011,51009,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Virginia,1,0.8,Southwest,17,1.3,Near Southwest,13,1.3,Central Virginia,5,0.7,Horizon Behavioral Health,1,0.8,VSP Division 3,1,0.5,Virginia State,153,1.9,31819
130,Amherst,2011,51009,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,31819
131,Amherst,2011,51009,OD Death,Fatal Prescription Opioid Overdose,1,3.1,Central Virginia,8,3.1,Southwest,163,12,Near Southwest,71,7.2,Central Virginia,27,3.6,Horizon Behavioral Health,8,3.1,VSP Division 3,23,3.6,Virginia State,496,6,31819
154,Appomattox,2011,51011,OD Death,Fatal Prescription Opioid Overdose,0,0,Central Virginia,8,3.1,Southwest,163,12,Near Southwest,71,7.2,Central Virginia,27,3.6,Horizon Behavioral Health,8,3.1,VSP Division 3,23,3.6,Virginia State,496,6,15462
155,Appomattox,2011,51011,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,15462
158,Appomattox,2011,51011,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,15462
165,Appomattox,2011,51011,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Virginia,1,0.8,Southwest,17,1.3,Near Southwest,13,1.3,Central Virginia,5,0.7,Horizon Behavioral Health,1,0.8,VSP Division 3,1,0.5,Virginia State,153,1.9,15462
180,Arlington,2011,51013,ED,ED Opioid Overdose,0,0,Arlington,0,0,Northern,0,0,Northern,0,0,Northern Virginia,0,0,Arlington County Community Services Board,0,0,VSP Division 7,0,0,Virginia State,0,0,229534
185,Arlington,2011,51013,OD Death,Fatal Prescription Opioid Overdose,6,2.8,Arlington,6,2.8,Northern,83,3.6,Northern,105,3.9,Northern Virginia,85,3.5,Arlington County Community Services Board,6,2.8,VSP Division 7,83,3.6,Virginia State,496,6,229534
191,Arlington,2011,51013,ED,ED Heroin Overdose,0,0,Arlington,0,0,Northern,0,0,Northern,0,0,Northern Virginia,0,0,Arlington County Community Services Board,0,0,VSP Division 7,0,0,Virginia State,0,0,229534
192,Arlington,2011,51013,OD Death,Fatal Fentanyl and/or Heroin Overdose,2,0.5,Arlington,2,0.5,Northern,21,0.9,Northern,23,0.9,Northern Virginia,21,0.9,Arlington County Community Services Board,2,0.5,VSP Division 7,21,0.9,Virginia State,153,1.9,229534
208,Augusta,2011,51015,ED,ED Heroin Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Valley Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,74390
209,Augusta,2011,51015,ED,ED Opioid Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Valley Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,74390
219,Augusta,2011,51015,OD Death,Fatal Prescription Opioid Overdose,9,12.2,Central Shenandoah,19,6.6,Northwest,85,6.8,Northwest,63,7.4,Central Virginia,27,3.6,Valley Community Services Board,12,9.9,VSP Division 3,23,3.6,Virginia State,496,6,74390
223,Augusta,2011,51015,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,2.7,Central Shenandoah,6,2.1,Northwest,23,1.8,Northwest,21,2.5,Central Virginia,5,0.7,Valley Community Services Board,NA,1.7,VSP Division 3,NA,0.5,Virginia State,153,1.9,74390
233,Bath,2011,51017,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Shenandoah,6,2.1,Northwest,23,1.8,Northwest,21,2.5,Roanoke Area,12,1.6,Rockbridge Area Community Services,NA,4.9,VSP Division 6,12,1.6,Virginia State,153,1.9,4458
237,Bath,2011,51017,OD Death,Fatal Prescription Opioid Overdose,0,0,Central Shenandoah,19,6.6,Northwest,85,6.8,Northwest,63,7.4,Roanoke Area,56,7.5,Rockbridge Area Community Services,NA,4.9,VSP Division 6,57,7.4,Virginia State,496,6,4458
243,Bath,2011,51017,ED,ED Heroin Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Roanoke Area,0,0,Rockbridge Area Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,4458
250,Bath,2011,51017,ED,ED Opioid Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Roanoke Area,0,0,Rockbridge Area Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,4458
260,Bedford,2011,51019,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1.3,Central Virginia,NA,0.8,Southwest,17,1.3,Near Southwest,13,1.3,Roanoke Area,12,1.6,Horizon Behavioral Health,NA,0.8,VSP Division 6,12,1.6,Virginia State,153,1.9,77319
267,Bedford,2011,51019,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Horizon Behavioral Health,0,0,VSP Division 6,0,0,Virginia State,0,0,77319
